Comment,Designator,Footprint,LCSC,Quantity
100n,"C3,C8",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663,2
100n (X7R),C5,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663,1
10n,C4,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C57112,1
10n (X7R),C7,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C57112,1
10u (X7R),C6,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C19702,1
1u,"C1,C2",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C15849,2
2M,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C2930148,1
3.3u/25V,C9,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C51412,1
MG6208T3-18,U1,SOT-23,C22395363,1
vik-module-connector,J2,vik-module-connector-horizontal-mini,C2906115,1
