Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,24.5,-28.0,90.0,top
C2,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,31.5,-28.0,90.0,top
C3,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,23.0,-28.0,-90.0,top
C4,10n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,29.0,-55.0,-90.0,top
C5,100n (X7R),C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,31.0,-55.0,90.0,top
C6,10u (X7R),C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,25.0,-55.0,-90.0,top
C7,10n (X7R),C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,27.0,-55.0,-90.0,top
C8,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,34.5,-28.0,90.0,top
C9,3.3u/25V,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,33.0,-28.0,90.0,top
H1,MountingHole_Pad,MountingHole_2.2mm_M2_Pad,28.0,-22.5,0.0,top
H2,MountingHole_Pad,MountingHole_2.2mm_M2_Pad,28.0,-28.0,0.0,top
H3,MountingHole_Pad,MountingHole_2.2mm_M2_Pad,28.0,-59.5,0.0,top
J2,vik-module-connector,vik-module-connector-horizontal-mini,28.0,-32.97,180.0,top
R1,2M,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,21.5,-28.0,90.0,top
U1,MG6208T3-18,SOT-23,33.5,-34.0,0.0,top
U2,PMW3610,PMW3610DM-SUDU 16Pin,28.0,-44.495,90.0,top
